date;Heat Flux;T1;T2;U;Analysis period;U24;U2/3s;U2/3e;
2019-03-01 00:32:35;5.35075807571411;22.5625;13.625;1.18964907408793;1;1;1;0;
2019-03-01 00:42:35;5.2117772102356;22.5625;13.375;1.17477023549188;1;1;1;0;
2019-03-01 00:52:35;4.93381595611572;22.5;13;1.15895940856013;1;1;1;0;
2019-03-01 01:02:35;4.79483509063721;22.5;12.625;1.14248654509794;1;1;1;0;
2019-03-01 01:12:35;4.65585422515869;22.375;12.4375;1.12629408618769;1;1;1;0;
2019-03-01 01:22:35;4.51687335968018;22.375;12.25;1.11004192273525;1;1;1;0;
2019-03-01 01:32:35;4.51687335968018;22.375;12;1.09391796860062;1;1;1;0;
2019-03-01 01:42:35;4.37789297103882;22.25;11.375;1.07702254177479;1;1;1;0;
2019-03-01 01:52:35;4.09993124008179;22.25;10.875;1.05916179091726;1;1;1;0;
2019-03-01 02:02:35;3.96095061302185;22.125;10.5625;1.04145513651478;1;1;1;0;
2019-03-01 02:12:35;3.82196998596191;22.125;10.25;1.02364545093937;1;1;1;0;
2019-03-01 02:22:35;3.54400849342346;22.0625;10;1.00574717442901;1;1;1;0;
2019-03-01 02:32:35;3.26604700088501;22;10.3125;0.988890035344484;1;1;1;0;
2019-03-01 02:42:35;3.12706637382507;21.9375;9.875;0.971820615363844;1;1;1;0;
2019-03-01 02:52:35;3.96095061302185;21.875;9.75;0.956998494381817;1;1;1;0;
2019-03-01 03:02:35;3.26604700088501;21.875;9.6875;0.94144600515965;1;1;1;0;
2019-03-01 03:12:35;3.26604700088501;21.8125;9.875;0.926999863033791;1;1;1;0;
2019-03-01 03:22:35;3.12706637382507;21.75;9.875;0.913020161038756;1;1;1;0;
2019-03-01 03:32:35;2.98808550834656;21.75;9.5;0.898790280024211;1;1;1;0;
2019-03-01 03:42:35;2.98808550834656;21.75;9.4375;0.885059023567053;1;1;1;0;
2019-03-01 03:52:35;2.84910488128662;21.625;9.625;0.87211309390289;1;1;1;0;
2019-03-01 04:02:35;2.98808550834656;21.625;10.625;0.861308213380104;1;1;1;0;
2019-03-01 04:12:35;2.98808550834656;21.6875;11.125;0.851483919920035;1;1;1;0;
2019-03-01 04:22:35;3.26604700088501;21.8125;11.5;0.842760430570292;1;1;1;0;
2019-03-01 04:32:35;5.35075807571411;22.4375;11.4375;0.836666396310362;1;1;1;0;
